DATE,SPOT,SPOT-1,SPOT-2,SPOT-3,M1,M2,M3,M4,GASPOOL,TTF,HENRYHUB,API2,BRENT,BCOM,EURUSD,EURGBP,EURCNY,DXY,PPI,PROD,CONS,FUNDRATE,SP500,TEMP
31/1/2011,21.45,23.4,,,21.25,21.3,21.15,,21.45,21.35,4.42,123.68,101.01,164,1.37,0.85,9.04,77.74,102.6,6717819,449111,0.17,1276.34,-5
28/2/2011,22.7,21.45,23.4,,22.4,22.35,22.35,,22.78,22.55,4.04,119.75,111.8,166.14,1.38,0.85,9.07,76.89,102.9,6115476,377036,0.16,1327.22,1
31/3/2011,24.5,22.7,21.45,23.4,24.35,25.3,24.5,24.5,23.68,23.7,4.39,128.05,117.36,169.56,1.42,0.88,9.28,75.86,104.5,6001860,355860,0.14,1319.44,10
30/4/2011,22.7,24.5,22.7,21.45,22.7,25.3,23,,22.35,22.5,4.7,127.75,125.89,175.42,1.48,0.89,9.6,72.93,106.7,4557917,229793,0.1,1363.61,9
31/5/2011,23,22.7,24.5,22.7,23.3,23.7,23,24.5,23.63,23.15,4.67,122.5,116.73,166.54,1.44,0.87,9.33,74.64,106.4,4882025,199962,0.09,1331.1,11
30/6/2011,22.15,23,22.7,24.5,22.25,23.2,22.95,24.43,22.03,22.15,4.37,122.6,112.48,158.13,1.45,0.9,9.37,74.3,106.4,3881992,181108,0.09,1307.41,10
31/7/2011,21.45,22.15,23,22.7,21.38,22.6,24.65,27.35,21.4,20.6,4.15,123.58,116.74,162.81,1.44,0.88,9.26,73.9,108.1,3853556,179691,0.07,1292.28,11
31/8/2011,24,21.45,22.15,23,24.45,27.3,29.1,29.2,24.38,24.75,4.05,124.75,114.85,164.43,1.44,0.88,9.17,74.12,107.7,3731595,147995,0.1,1210.08,9
30/9/2011,16,24,21.45,22.15,23.05,26.85,27.6,27.75,18.8,15.5,3.67,123.75,102.76,140.2,1.34,0.86,8.54,78.55,108.4,4526970,156220,0.08,1160.4,15
31/10/2011,23.5,16,24,21.45,24.3,26.03,25.85,25.85,23.73,23.05,3.93,117.7,109.56,149.48,1.39,0.86,8.81,76.17,109.4,5196543,204370,0.07,1285.09,9
30/11/2011,23.35,23.5,16,24,23.65,24.7,24.25,23.75,23.45,23.1,3.55,116.05,110.52,146.16,1.34,0.86,8.57,78.38,109.5,6565645,278098,0.08,1195.19,7
31/12/2011,21.3,23.35,23.5,16,22.05,22.1,22.6,,21.5,21.1,2.99,110.8,107.38,140.68,1.29,0.83,8.14,80.18,107.9,5566668,358786,0.07,1263.02,6
31/1/2012,24.1,21.3,23.35,23.5,23.4,23.2,24.3,,24.88,24.1,2.5,106.35,110.98,144.16,1.31,0.83,8.25,79.29,109,5869770,383984,0.08,1316.33,3
29/2/2012,24.5,24.1,21.3,23.35,24.2,24.75,24.4,24.58,24.38,23.9,2.62,99.13,122.66,148.04,1.33,0.84,8.39,78.74,109.4,6702849,417910,0.1,1365.68,6
31/3/2012,24.3,24.5,24.1,21.3,25.25,25.45,25.75,,24.3,25.4,2.13,97.3,122.88,141.9,1.33,0.83,8.4,79,110.7,4437556,,0.13,1403.28,5
30/4/2012,25.2,24.3,24.5,24.1,25.5,25.3,25.5,,25.48,25.15,2.29,96.3,119.47,141.29,1.32,0.82,8.35,78.78,110.8,4332791,,0.14,1403.36,12
31/5/2012,23.65,25.2,24.3,24.5,23.45,23.73,23.65,24.43,23.55,22.7,2.42,88.25,101.87,128.38,1.24,0.8,7.87,83.04,110,3208009,,0.16,1332.42,17
30/6/2012,24.6,23.65,25.2,24.3,24.02,24.2,24.05,24.55,24,24.02,2.82,86.88,97.8,135.42,1.27,0.81,8.04,81.63,108.5,3082357,,0.16,1362.16,17
31/7/2012,24.35,24.6,23.65,25.2,24,24.4,25,25.1,23.93,23.7,3.21,92.53,104.92,144.17,1.23,0.78,7.82,82.64,109.2,3082657,,0.16,1385.97,12
31/8/2012,24.85,24.35,24.6,23.65,25.13,25.7,27.2,27.77,24.83,24.65,2.8,93.88,114.57,146.03,1.26,0.79,7.99,81.21,110.4,3064825,,0.13,1410.49,15
30/9/2012,25.7,24.85,24.35,24.6,25.9,26.55,27,27,25.73,25.75,3.32,89.5,112.39,148.51,1.29,0.8,8.08,79.94,110.6,3295345,,0.14,1440.67,7
31/10/2012,27.3,25.7,24.85,24.35,27.48,27.4,27.6,27.7,27.33,26.95,3.69,86.23,108.7,142.74,1.3,0.8,8.08,79.92,110.4,4118128,,0.16,1411.94,5
30/11/2012,27.5,27.3,25.7,24.85,27.52,27.65,27.6,27.4,27.68,27.6,3.56,89.48,111.23,142.8,1.3,0.81,8.1,80.15,110.5,5021382,,0.16,1415.95,3
31/12/2012,26.6,27.5,27.3,25.7,26.3,26.7,27.35,27.4,26.6,26.2,3.35,89.95,111.11,139.07,1.32,0.81,8.22,79.77,109.6,5233125,,0.16,1402.43,6
31/1/2013,26.1,26.6,27.5,27.3,26,25.9,27.3,,25.85,25.25,3.34,86.4,115.55,142.4,1.36,0.86,8.45,79.21,111.1,5613099,,0.14,1507.84,8
28/2/2013,26.75,26.1,26.6,27.5,26.4,26.02,,,26.7,26.3,3.49,89.25,111.38,136.57,1.31,0.86,8.13,81.95,110.5,5081844,,0.15,1514.68,2
31/3/2013,36.2,26.75,26.1,26.6,28.9,27.4,26.95,26.8,35.3,36.55,4.02,85.15,110.02,137.48,1.28,0.84,7.96,83.22,109.6,4713417,,0.14,1569.19,-2
30/4/2013,26.85,36.2,26.75,26.1,26.83,26.8,26.4,,26.9,26.5,4.34,82.45,102.37,133.63,1.32,0.85,8.12,81.75,109.6,3274562,,0.15,1593.61,2
31/5/2013,27,26.85,36.2,26.75,26.83,26.55,26.92,26.58,26.9,27.25,3.98,82,100.39,130.63,1.3,0.85,7.97,83.26,108.5,2118188,,0.11,1648.36,9
30/6/2013,26.25,27,26.85,36.2,26.15,26.4,26.25,,26.15,26,3.57,74.5,102.16,124.47,1.3,0.86,7.98,83.14,108.3,2028536,,0.09,1606.28,14
31/7/2013,25.9,26.25,27,26.85,26.3,26.23,26.5,26.75,25.8,25.6,3.45,77.5,107.7,126.16,1.33,0.87,8.15,81.45,108.5,1967331,,0.09,1685.33,16
31/8/2013,26,25.9,26.25,27,25.85,26.3,26.98,27.5,25.95,25.75,3.58,75.6,114.01,130.44,1.32,0.85,8.09,82.09,108.2,2061286,,0.08,1638.17,12
30/9/2013,26.5,26,25.9,26.25,26.8,27.2,27.49,27.7,26.7,26.08,3.56,78.25,108.37,127.11,1.35,0.84,8.28,80.22,109.1,3001592,,0.08,1691.75,16
31/10/2013,25,26.5,26,25.9,26.25,27.15,27.5,27.5,25,25,3.58,84,108.84,125.23,1.36,0.85,8.28,80.2,108.3,3258559,,0.09,1771.95,4
30/11/2013,28.3,25,26.5,26,28.17,28.38,28.35,28,28.25,28.2,3.95,84.5,109.69,124.22,1.36,0.83,8.28,80.68,108.2,3828476,,0.08,1805.81,7
31/12/2013,27.15,28.3,25,26.5,27.2,27.5,27.7,27.05,27,26.85,4.23,85,110.8,125.75,1.37,0.83,8.32,80.04,108.4,3978042,,0.09,1841.4,2
31/1/2014,26,27.15,28.3,25,25.43,25.3,25.18,24.8,25.48,25,4.94,83.25,106.4,126.12,1.35,0.82,8.17,81.31,107.8,4516962,,0.07,1774.2,4
28/2/2014,23.75,26,27.15,28.3,23.25,23.63,23.68,23.43,23.4,22.95,4.61,77.1,109.07,133.98,1.38,0.83,8.48,79.69,107.6,3468560,,0.07,1859.45,4
31/3/2014,21.2,23.75,26,27.15,21.35,21.63,21.5,21.58,21.35,21.1,4.37,75.2,107.76,134.52,1.38,0.83,8.56,80.1,106.7,3056754,,0.08,1857.62,11
30/4/2014,19.3,21.2,23.75,26,19.5,20.05,22.55,,20.03,18.95,4.82,76.2,108.07,137.8,1.39,0.82,8.68,79.47,106.3,2221543,,0.09,1878.33,9
31/5/2014,18.3,19.3,21.2,23.75,18.8,19.4,20.5,19.8,18.45,18.75,4.54,74.8,109.41,133.83,1.36,0.81,8.51,80.37,105.7,1832307,,0.09,1920.03,11
30/6/2014,16.75,18.3,19.3,21.2,17.2,17.5,18.4,21.52,17.05,16.35,4.46,72.35,112.36,134.63,1.37,0.8,8.49,79.78,105.7,1758834,,0.1,1960.96,13
31/7/2014,17.55,16.75,18.3,19.3,17.55,18.58,21.25,23.95,17.53,17.1,3.84,73.55,106.02,127.91,1.34,0.79,8.27,81.46,105,1983593,,0.09,1969.95,16
31/8/2014,19.75,17.55,16.75,18.3,19.65,21,24.43,25.2,18.65,19.9,4.07,77,103.19,126.57,1.31,0.79,8.07,82.75,104.8,1747589,,0.09,2003.37,15
30/9/2014,22.5,19.75,17.55,16.75,22.33,24.52,25,25.5,22.5,20.7,4.12,72.15,94.67,118.69,1.26,0.78,7.75,85.94,104.9,2082960,,0.09,1977.8,16
31/10/2014,20.15,22.5,19.75,17.55,22.1,23.15,23.48,23.75,21.7,20.6,3.87,72.9,85.86,117.74,1.25,0.78,7.68,86.92,104.4,2570904,237967,0.09,1982.3,12
30/11/2014,23.83,20.15,22.5,19.75,24,24.52,25.12,24.75,24.55,24.05,4.09,74.1,70.15,112.95,1.25,0.8,7.64,88.36,104.9,3225233,387128,0.09,2067.56,6
31/12/2014,21.5,23.83,20.15,22.5,21.3,21.52,21.4,22.99,21.38,20.4,2.89,66.8,57.33,104.33,1.21,0.78,7.51,90.27,103,3843719,394329,0.12,2090.57,1
31/1/2015,20.6,21.5,23.83,20.15,20.5,20.63,20.6,20,20.95,20.15,2.69,58.88,52.99,100.84,1.13,0.75,7.09,94.8,101,3931472,393126,0.11,2021.25,1
28/2/2015,24.2,20.6,21.5,23.83,23.48,23.35,20,22.42,23.75,23.9,2.73,61.8,62.58,103.44,1.12,0.73,7.02,95.32,101.6,3910085,383000,0.11,2104.5,4
31/3/2015,22.25,24.2,20.6,21.5,21.9,21.78,21.7,20.38,21.5,22.4,2.64,59.2,55.11,98.12,1.07,0.72,6.66,98.36,101.7,3137537,324996,0.11,2061.02,8
30/4/2015,20.6,22.25,24.2,20.6,20.67,20.67,20.98,,21.2,20.75,2.75,59.7,66.78,103.75,1.12,0.73,6.93,94.6,101.6,1919942,258518,0.12,2106.85,7
31/5/2015,20.75,20.6,22.25,24.2,20.65,20.55,20.78,20.6,20.85,20.6,2.64,58.8,65.56,100.95,1.1,0.72,6.81,96.91,101.4,1401514,197061,0.12,2107.39,11
