DATE,SPOT,M1,M2,M3,M4,TTF_SPOT,TTF_M1,HENRYHUB_SPOT,HENRYHUB_M1,COAL_M1,BRENT_SPOT,BRENT_M1,BCOM,GSCI,DXY,EURUSD,PPI,GAS_PROD,GAS_DEM,GAS_STO,SP500,EU10YT,EU1YT,FEDFUNDS,TEMP
31/1/2010,13.90967742,15.85,15.15,13.75,13.58,14.6752381,14.85,5.97,5.131,86.5,77.91,71.46,129.0506,4534.168,79.462,1.3862,94.9,6942644,115.477,45.11,1115.1,3.19,0.66,0.11,-4.466666667
28/2/2010,14.02535714,12.7,12.45,12.5,14.45,13.956,12.22,5.44,4.813,75.18,71.58,77.59,133.8318,4237.105,80.362,1.3625,93.8,6401162,115.477,45.11,1089.19,3.10,0.56,0.13,-3.958333333
31/3/2010,12.21419355,12.65,12.15,11.95,11.1,12.05478261,11.85,4.39,3.869,73.55,76.07,82.7,132.1517,4368.016,81.073,1.351,94.8,6431806,115.477,45.11,1115.71,3.10,0.61,0.16,0
30/4/2010,13.34233333,15.25,14.05,14.5,16.19,13.34545455,14.65,4.13,3.92,79.38,82.63,87.44,134.7037,4557.699,81.866,1.3295,96.2,5553325,64.015,45.11,1178.1,3.02,0.58,0.2,3.137931034
31/5/2010,16.85774194,16.5,16.6,16.8,18.47,16.6047619,16.34,4.24,4.341,90,88.09,74.65,125.3626,4644.402,86.588,1.2305,96.3,4758530,64.015,45.11,1202.26,2.66,0.44,0.2,9
30/6/2010,19.543,19.75,20.35,21.2,21.78,19.13909091,20.23,4.91,4.616,92.55,73.08,75.01,125.7471,3951.125,86.019,1.2234,98.1,3868273,64.015,45.11,1070.71,2.55,0.66,0.18,12.86666667
31/7/2010,19.66193548,18.6,18.95,20,21.04,19.68909091,18.5,4.73,4.923,92.75,71.73,78.18,134.2481,3936.786,81.539,1.3045,99,3881616,45.012,45.11,1027.37,2.67,0.66,0.18,14.93548387
31/8/2010,18.57322581,18.45,18.65,19.65,20.35,18.155,18.41,4.41,3.816,92,81.93,74.64,130.8135,4350.695,83.202,1.2685,98.1,3436833,45.012,45.11,1125.86,2.12,0.51,0.19,13.51612903
30/9/2010,19.11566667,19.5,19.6,19.45,19.74,18.94409091,19.2,3.98,3.872,96,75.53,82.31,140.2939,4097.859,78.72,1.363,98.1,4210847,45.012,45.11,1080.29,2.27,0.72,0.19,7.633333333
31/10/2010,18.94645161,18.7,19.25,19.45,19.5,18.46333333,18.81,3.51,4.038,99.1,82.69,83.15,147.2686,4386.305,77.266,1.3947,98.9,5599328,101.165,45.11,1146.24,2.52,0.86,0.19,4.655172414
