.id,.model,DATE,SPOT,.mean
1,NAIVE(SPOT),2017 Jan,"N(18, 2.5)",17.87909091
1,SNAIVE(SPOT),2017 Jan,"N(14, 27)",14.389
1,ETS(SPOT),2017 Jan,"N(18, 2.5)",17.879106663842098
1,ARIMA(SPOT),2017 Jan,"N(18, 2.5)",17.87909091
2,NAIVE(SPOT),2017 Feb,"N(20, 2.5)",20.46
2,SNAIVE(SPOT),2017 Feb,"N(13, 27)",12.81809524
2,ETS(SPOT),2017 Feb,"N(20, 2.6)",20.459741057229596
2,ARIMA(SPOT),2017 Feb,"N(20, 2.5)",20.46
3,NAIVE(SPOT),2017 Mar,"N(20, 2.5)",20.023
3,SNAIVE(SPOT),2017 Mar,"N(12, 27)",12.44869565
3,ETS(SPOT),2017 Mar,"N(20, 2.5)",20.02304474079158
3,ARIMA(SPOT),2017 Mar,"N(20, 2.5)",20.023
4,NAIVE(SPOT),2017 Apr,"N(16, 2.6)",16.34434783
4,SNAIVE(SPOT),2017 Apr,"N(12, 27)",12.18142857
4,ETS(SPOT),2017 Apr,"N(16, 2.7)",16.34471890454008
4,ARIMA(SPOT),2017 Apr,"N(16, 2.6)",16.34434783
5,NAIVE(SPOT),2017 May,"N(16, 2.6)",16.4975
5,SNAIVE(SPOT),2017 May,"N(13, 27)",13.14090909
5,ETS(SPOT),2017 May,"N(16, 2.6)",16.497484671170564
5,ARIMA(SPOT),2017 May,"N(16, 2.6)",16.4975
6,NAIVE(SPOT),2017 Jun,"N(16, 2.6)",16.04782609
6,SNAIVE(SPOT),2017 Jun,"N(14, 27)",14.47727273
6,ETS(SPOT),2017 Jun,"N(16, 2.6)",16.047871204547477
6,ARIMA(SPOT),2017 Jun,"N(16, 2.6)",16.04782609
7,NAIVE(SPOT),2017 Jul,"N(15, 2.5)",15.46818182
7,SNAIVE(SPOT),2017 Jul,"N(14, 27)",14.45619048
7,ETS(SPOT),2017 Jul,"N(15, 2.6)",15.468239980625315
7,ARIMA(SPOT),2017 Jul,"N(15, 2.5)",15.46818182
8,NAIVE(SPOT),2017 Aug,"N(15, 2.5)",15.26428571
8,SNAIVE(SPOT),2017 Aug,"N(12, 26)",12.19954545
8,ETS(SPOT),2017 Aug,"N(15, 2.5)",15.264306108069361
8,ARIMA(SPOT),2017 Aug,"N(15, 2.5)",15.26428571
9,NAIVE(SPOT),2017 Sep,"N(16, 2.5)",16.07217391
9,SNAIVE(SPOT),2017 Sep,"N(12, 26)",12.38318182
9,ETS(SPOT),2017 Sep,"N(16, 2.5)",16.07209285608731
9,ARIMA(SPOT),2017 Sep,"N(16, 2.5)",16.07217391
10,NAIVE(SPOT),2017 Oct,"N(17, 2.5)",17.30666667
10,SNAIVE(SPOT),2017 Oct,"N(16, 26)",16.19333333
10,ETS(SPOT),2017 Oct,"N(17, 2.5)",17.306542957848045
10,ARIMA(SPOT),2017 Oct,"N(17, 2.5)",17.30666667
11,NAIVE(SPOT),2017 Nov,"N(17, 2.5)",17.38409091
11,SNAIVE(SPOT),2017 Nov,"N(18, 26)",18.03545455
11,ETS(SPOT),2017 Nov,"N(17, 2.5)",17.38408296984409
11,ARIMA(SPOT),2017 Nov,"N(17, 2.5)",17.38409091
12,NAIVE(SPOT),2017 Dec,"N(20, 2.5)",19.66545455
12,SNAIVE(SPOT),2017 Dec,"N(18, 26)",17.87909091
12,ETS(SPOT),2017 Dec,"N(20, 2.5)",19.665220967852008
12,ARIMA(SPOT),2017 Dec,"N(20, 2.5)",19.66545455
13,NAIVE(SPOT),2018 Jan,"N(21, 2.5)",20.67333333
13,SNAIVE(SPOT),2018 Jan,"N(20, 25)",20.46
13,ETS(SPOT),2018 Jan,"N(21, 2.5)",20.67323194387868
13,ARIMA(SPOT),2018 Jan,"N(21, 2.5)",20.67333333
14,NAIVE(SPOT),2018 Feb,"N(18, 2.5)",18.49695652
14,SNAIVE(SPOT),2018 Feb,"N(20, 25)",20.023
14,ETS(SPOT),2018 Feb,"N(18, 2.5)",18.497179341510016
14,ARIMA(SPOT),2018 Feb,"N(18, 2.5)",18.49695652
15,NAIVE(SPOT),2018 Mar,"N(21, 2.6)",21.396
15,SNAIVE(SPOT),2018 Mar,"N(16, 25)",16.34434783
15,ETS(SPOT),2018 Mar,"N(21, 2.6)",21.395710078881862
15,ARIMA(SPOT),2018 Mar,"N(21, 2.6)",21.396
16,NAIVE(SPOT),2018 Apr,"N(24, 2.6)",23.80045455
16,SNAIVE(SPOT),2018 Apr,"N(16, 25)",16.4975
16,ETS(SPOT),2018 Apr,"N(24, 2.6)",23.800208335402267
16,ARIMA(SPOT),2018 Apr,"N(24, 2.6)",23.80045455
17,NAIVE(SPOT),2018 May,"N(20, 2.7)",19.63904762
17,SNAIVE(SPOT),2018 May,"N(16, 25)",16.04782609
17,ETS(SPOT),2018 May,"N(20, 2.8)",19.63946900473851
17,ARIMA(SPOT),2018 May,"N(20, 2.7)",19.63904762
18,NAIVE(SPOT),2018 Jun,"N(22, 2.8)",21.68
18,SNAIVE(SPOT),2018 Jun,"N(15, 25)",15.46818182
18,ETS(SPOT),2018 Jun,"N(22, 2.8)",21.625981043223284
