process,non_linear,sigma,run,train_size,p_spot,p_m1,ridge,lasso,mlp_seo,rnn_seo,lstm_seo,dda_ml1,dda_ml2,mlp_ieo,rnn_ieo,lstm_ieo
mr,False,10,1,25,4.023995529375316,4.682340682317524,0.2219781829283772,0.42150871076243324,0.9000950526857023,0.1689890061714921,1.171901920969769,0.4253024254194533,1.730914882926857,0.6475933769731256,1.2062494889525104,2.5378724313021532
mr,False,10,1,73,4.023995529375331,4.682340682317539,0.3569088477019438,0.42082452950545507,0.4301157305562387,0.4778188340149826,0.3946912076114442,0.30757792943640844,0.7666968419290349,0.4555804051914676,0.3852685068111919,0.3907055558399321
mr,False,10,2,25,3.4671533476494876,3.3192628556095323,1.4104175064678424,0.5738467430414932,0.9964712137486625,1.4544559763568343,1.3302715372228233,1.5317949928369259,2.5134490730018477,1.2757335352769814,1.238145193787749,2.1438517146979614
mr,False,10,2,73,3.4671533476494876,3.3192628556095323,0.9153625925878034,0.6605105772527233,1.1992738076379172,0.9153625925878034,1.4184474371760123,0.35819504895556886,0.5558677128669078,1.5214455739618045,1.3762433066063546,1.2911010008964874
mr,False,10,3,25,4.570096179468172,5.341301896102137,0.4546076960335552,0.47734249848752064,0.964967418343936,0.35556744929812467,1.3319742493295665,0.356735261051125,1.1552913352496383,1.2786989925847045,1.4745669499972733,1.7535292517782444
mr,False,10,3,73,4.570096179468157,5.341301896102122,0.11588615208026883,0.07803856497858139,0.11588615208026883,0.3555674492981101,0.09374453168189345,0.3567352610511105,0.4955920893138559,0.20938837397910132,0.15668102883979193,0.07803856497858139
mr,False,10,4,25,3.7497820150561467,4.225727622862081,0.9920708557954896,0.8606966734361535,1.5533478688390414,1.0039112377683808,1.439543766936446,1.546542966735457,2.0826355957307197,1.294227896398049,1.4178197945953626,2.0833454163053196
mr,False,10,4,73,3.7497820150561467,4.225727622862081,0.7426827381694244,0.6671464533656348,0.9610620603380569,0.7426827381694244,1.0592874754449766,0.28634330769009514,0.7248028062870573,0.8107190069796865,1.022759206126873,1.2676684846533015
mr,False,10,5,25,4.443757924768516,3.8531582901570176,0.8620864705620478,0.34578942341438207,0.9493113889770805,0.6462466755880627,0.8391600116686236,0.93785394092166,0.9045277472615888,0.3187229587748041,0.6327169140354425,0.7076980692058804
mr,False,10,5,73,4.4437579247685,3.8531582901570016,0.13079438963742587,0.27952109037807626,0.6536602083498335,0.2528131202126182,0.8095030345551961,0.29115079727073484,0.5422289629389344,0.3818725553056408,0.4962962869232804,0.3818725553056408
mr,False,10,6,25,3.491065859087481,3.5548090473643885,1.3984054649906879,0.9249772855092953,1.3748878198388235,1.2822015136107818,1.5727001911480747,1.4826712411630085,1.2703773237165457,0.9538381402618777,1.029889673854186,1.5881936951307436
mr,False,10,6,73,3.491065859087465,3.5548090473643574,0.5002925714187442,0.4603748836046573,0.5997151782424163,0.5002925714187442,0.515904236067618,0.4603748836046573,1.259167830748059,0.5536806661618653,0.7802717027141366,0.8486667953180572
mr,False,10,7,25,4.383227902481841,3.842599744712125,1.4485749203587248,1.937022780596029,1.6730946024169664,0.702955367711492,1.4057335433337388,0.2605397120102905,0.387240519976184,0.9336340496976002,1.2331160472775893,2.4960024171654114
mr,False,10,7,73,4.383227902481841,3.842599744712125,0.4837985656363078,0.38395884648494066,0.8991527061240099,0.7998026572345359,0.5559828267438952,0.22889619275959044,0.39619574143285563,0.6024982064471465,0.39619574143285563,0.4866454599443187
mr,False,10,8,25,3.4749861050969173,3.2007782075815907,1.6499814309039704,1.47276566981392,1.3850414441221937,1.6803034873810754,1.894916875037288,1.1020649451549176,1.5050227603807338,1.3849554211450235,1.2903157973484163,1.6467132572556922
mr,False,10,8,73,3.4749861050969324,3.200778207581606,0.6354230772236352,0.8671636162576465,0.48546488331493487,0.9188535000072721,0.6210375079540781,0.8679702098029047,0.867655383232858,1.375296310623978,1.1953539661674173,1.5860938074600865
mr,False,10,9,25,3.4736086919020708,3.974810373173592,0.9877296064550231,0.9868011158743707,1.7789288326704158,1.3590976252705873,1.631817464932597,1.1098732384818262,1.078404549539202,2.200627669859779,2.271817609745627,2.9121833371896493
mr,False,10,9,73,3.473608691902085,3.9748103731736073,1.4873995347379005,1.5447659459205645,1.3091887711088344,1.451016483613445,1.5547946807603585,1.0068702672016705,1.1903143346163623,1.3076540480181258,2.2753193050614553,2.139429714167691
mr,False,10,10,25,6.040571101673408,5.279196005737305,1.1347584388441543,0.6930593687935291,6.040571101673408,6.040571101673408,6.040571101673408,2.032019908958058,2.4737189790086984,2.3783452432569527,3.6983174733332076,2.4190171285767326
mr,False,10,10,73,6.040571101673392,5.279196005737289,0.36618146939393453,0.36618146939393453,0.43155392738158965,0.36618146939393453,0.3369043893553942,1.4345449660565985,1.4815896357980742,0.5797328661386232,1.5524359080362014,0.9753543262761153
mr,False,10,11,25,2.836496345986636,3.6060306568344207,0.5923566899732656,0.42540553711705426,1.3957481364509943,1.4840705428690395,1.9788576655192864,0.4659475889789111,0.7189517730349093,0.9525818004327699,2.19800059747156,2.632215575842246
mr,False,10,11,73,2.8364963459866073,3.606030656834465,0.5033249746998182,0.5704815347346136,0.49370881787366794,0.5640450221815567,0.4726943979154741,0.47218827223715176,0.3942688346544316,0.9710996365301277,0.7574548751052221,0.82913362942976
mr,False,10,12,25,5.505302795453751,6.088636887928003,0.8864662122784863,0.9070770371427556,4.824605905670615,4.824605905670615,4.824605905670615,2.445223275561802,3.02988040067978,1.1706094637895716,0.8126803048467208,1.045181032004446
mr,False,10,12,73,5.505302795453735,6.088636887927987,0.5736785155868407,0.3834669493120765,0.3834669493120765,0.3834669493120765,0.3834669493120765,0.43034322685872384,1.4735892911099133,0.3834669493120765,0.13350540376623987,0.13350540376623987
mr,False,10,13,25,4.4654300255049195,3.6051770776811396,0.8526614504362441,0.7629207273482943,1.1388072968548897,0.7186132142769869,0.7115359458719215,0.4397906889683679,0.8559109173186471,2.0902912070590025,2.3516604074740073,3.435025672292078
mr,False,10,13,73,4.4654300255049195,3.6051770776811396,0.4397906889683679,0.3801089334443914,0.43806323149775256,0.45720654820582163,0.46953316253994776,0.4397906889683679,0.7434786190675791,0.6795794163546814,0.6795794163546814,0.6795794163546814
mr,False,10,14,25,4.4515573239720405,3.7759774721167747,0.9476005269547718,2.0258599665769905,0.9226832576185447,0.8383943083066066,0.8506609759240197,0.5815622304355254,2.2176864561248877,2.630800835035866,1.5692640790773167,2.403850053303176
mr,False,10,14,73,4.4515573239720405,3.7759774721167894,0.6286243962839844,0.5956767337857425,0.4007495339770474,0.5956767337857425,0.5956767337857425,0.7278111072142212,0.7010721312998126,0.8034397155710354,0.6145098929337385,0.6231062266658702
mr,False,10,15,25,3.59116851668886,3.862325061966248,0.49717257568111534,0.4027449913352725,0.8746106563932855,0.4851270914726216,1.1415637521859172,0.2577898324722878,1.178933966617253,1.1219120194361392,1.2704744381124229,1.1478311627221727
